model,accuracy,macro_precision,macro_recall,macro_f1
Word+Char TF-IDF + Logistic Regression,0.7035935102970573,0.7035979297073185,0.7035936177124671,0.7035919722808177
Char TF-IDF + Logistic Regression,0.6976430663381525,0.6976436273938504,0.6976431045848757,0.6976428774969117
Char TF-IDF + Linear SVM,0.692296964343824,0.6923221773452188,0.6922972294965508,0.6922870664176225
Word TF-IDF + Logistic Regression,0.6723071916693785,0.6723506418013144,0.672306821409745,0.6722862394336837
Word TF-IDF + Linear SVM,0.6634280135744502,0.6634280199948172,0.6634280171693172,0.663428012847078
Majority baseline,0.5000232439217145,0.25001162196085724,0.5,0.333343663805126
